k_factor,home_advantage,pyth_exponent,elo_weight,accuracy,correct,total
35,100,2.0,0.4,55.62913907284768,252,453
40,100,1.8,0.4,55.62913907284768,252,453
35,75,1.8,0.6,55.40838852097131,251,453
35,75,2.0,0.6,55.40838852097131,251,453
35,100,1.8,0.4,55.40838852097131,251,453
40,100,1.8,0.5,55.40838852097131,251,453
40,100,2.0,0.4,55.40838852097131,251,453
20,75,1.8,0.4,55.18763796909493,250,453
25,75,1.8,0.5,55.18763796909493,250,453
30,75,1.8,0.5,55.18763796909493,250,453
30,75,1.8,0.6,55.18763796909493,250,453
30,75,2.0,0.5,55.18763796909493,250,453
30,100,1.8,0.4,55.18763796909493,250,453
35,75,2.2,0.5,55.18763796909493,250,453
35,75,2.2,0.6,55.18763796909493,250,453
35,100,1.8,0.5,55.18763796909493,250,453
40,75,2.5,0.7,55.18763796909493,250,453
40,100,2.0,0.5,55.18763796909493,250,453
15,75,2.0,0.4,54.966887417218544,249,453
15,100,2.0,0.4,54.966887417218544,249,453
20,100,2.37,0.4,54.966887417218544,249,453
25,75,2.0,0.5,54.966887417218544,249,453
25,75,2.2,0.5,54.966887417218544,249,453
25,75,2.37,0.5,54.966887417218544,249,453
25,75,2.5,0.5,54.966887417218544,249,453
30,50,1.8,0.6,54.966887417218544,249,453
30,50,1.8,0.8,54.966887417218544,249,453
30,50,2.0,0.6,54.966887417218544,249,453
30,75,2.0,0.6,54.966887417218544,249,453
30,75,2.2,0.5,54.966887417218544,249,453
30,75,2.2,0.6,54.966887417218544,249,453
35,50,1.8,0.8,54.966887417218544,249,453
35,75,1.8,0.5,54.966887417218544,249,453
35,75,2.0,0.5,54.966887417218544,249,453
35,100,2.2,0.4,54.966887417218544,249,453
35,100,2.5,0.5,54.966887417218544,249,453
40,50,2.5,0.7,54.966887417218544,249,453
40,75,1.8,0.6,54.966887417218544,249,453
40,75,2.2,0.5,54.966887417218544,249,453
40,75,2.37,0.5,54.966887417218544,249,453
40,100,2.2,0.4,54.966887417218544,249,453
40,100,2.5,0.5,54.966887417218544,249,453
40,125,2.2,0.4,54.966887417218544,249,453
40,125,2.37,0.4,54.966887417218544,249,453
15,50,2.0,0.5,54.746136865342166,248,453
15,50,2.37,0.4,54.746136865342166,248,453
15,50,2.5,0.4,54.746136865342166,248,453
15,75,1.8,0.4,54.746136865342166,248,453
15,75,2.2,0.5,54.746136865342166,248,453
15,75,2.37,0.5,54.746136865342166,248,453
15,75,2.5,0.5,54.746136865342166,248,453
15,100,2.37,0.4,54.746136865342166,248,453
15,100,2.5,0.4,54.746136865342166,248,453
20,50,2.5,0.4,54.746136865342166,248,453
20,75,2.0,0.4,54.746136865342166,248,453
20,75,2.0,0.6,54.746136865342166,248,453
20,75,2.2,0.6,54.746136865342166,248,453
20,75,2.37,0.6,54.746136865342166,248,453
20,100,2.5,0.4,54.746136865342166,248,453
25,50,1.8,0.7,54.746136865342166,248,453
25,50,1.8,0.8,54.746136865342166,248,453
25,50,2.0,0.7,54.746136865342166,248,453
25,50,2.2,0.7,54.746136865342166,248,453
25,75,1.8,0.4,54.746136865342166,248,453
25,75,1.8,0.6,54.746136865342166,248,453
25,75,2.0,0.6,54.746136865342166,248,453
25,75,2.5,0.6,54.746136865342166,248,453
25,100,2.0,0.5,54.746136865342166,248,453
25,125,2.2,0.4,54.746136865342166,248,453
30,50,1.8,0.7,54.746136865342166,248,453
30,50,2.0,0.7,54.746136865342166,248,453
30,50,2.0,0.8,54.746136865342166,248,453
30,50,2.2,0.6,54.746136865342166,248,453
30,50,2.5,0.7,54.746136865342166,248,453
30,75,2.37,0.5,54.746136865342166,248,453
30,75,2.37,0.6,54.746136865342166,248,453
30,75,2.37,0.7,54.746136865342166,248,453
30,75,2.5,0.5,54.746136865342166,248,453
30,75,2.5,0.6,54.746136865342166,248,453
30,75,2.5,0.7,54.746136865342166,248,453
30,100,2.0,0.4,54.746136865342166,248,453
30,100,2.2,0.4,54.746136865342166,248,453
30,100,2.37,0.4,54.746136865342166,248,453
30,100,2.5,0.4,54.746136865342166,248,453
35,50,1.8,0.7,54.746136865342166,248,453
35,50,2.0,0.8,54.746136865342166,248,453
35,50,2.2,0.8,54.746136865342166,248,453
35,50,2.37,0.8,54.746136865342166,248,453
35,50,2.5,0.8,54.746136865342166,248,453
35,75,2.37,0.5,54.746136865342166,248,453
35,75,2.37,0.6,54.746136865342166,248,453
35,75,2.5,0.7,54.746136865342166,248,453
35,100,2.0,0.5,54.746136865342166,248,453
35,100,2.37,0.4,54.746136865342166,248,453
35,100,2.5,0.4,54.746136865342166,248,453
35,150,2.37,0.4,54.746136865342166,248,453
40,50,1.8,0.8,54.746136865342166,248,453
40,50,2.0,0.8,54.746136865342166,248,453
40,50,2.2,0.6,54.746136865342166,248,453
40,75,2.0,0.5,54.746136865342166,248,453
40,75,2.0,0.6,54.746136865342166,248,453
40,75,2.37,0.7,54.746136865342166,248,453
40,75,2.5,0.5,54.746136865342166,248,453
40,100,2.2,0.5,54.746136865342166,248,453
40,100,2.37,0.4,54.746136865342166,248,453
40,100,2.37,0.5,54.746136865342166,248,453
40,125,2.5,0.4,54.746136865342166,248,453
15,50,1.8,0.5,54.52538631346579,247,453
15,50,2.2,0.4,54.52538631346579,247,453
15,75,2.0,0.5,54.52538631346579,247,453
15,75,2.2,0.4,54.52538631346579,247,453
15,100,2.0,0.5,54.52538631346579,247,453
15,100,2.2,0.4,54.52538631346579,247,453
20,50,2.0,0.7,54.52538631346579,247,453
20,50,2.2,0.4,54.52538631346579,247,453
20,50,2.2,0.7,54.52538631346579,247,453
20,50,2.37,0.4,54.52538631346579,247,453
20,75,1.8,0.6,54.52538631346579,247,453
20,75,2.5,0.6,54.52538631346579,247,453
20,100,1.8,0.4,54.52538631346579,247,453
20,100,2.0,0.4,54.52538631346579,247,453
20,125,1.8,0.4,54.52538631346579,247,453
25,50,2.0,0.8,54.52538631346579,247,453
25,50,2.2,0.4,54.52538631346579,247,453
25,50,2.37,0.4,54.52538631346579,247,453
25,50,2.5,0.4,54.52538631346579,247,453
25,50,2.5,0.7,54.52538631346579,247,453
25,75,2.0,0.4,54.52538631346579,247,453
25,75,2.2,0.6,54.52538631346579,247,453
25,75,2.37,0.6,54.52538631346579,247,453
25,75,2.37,0.7,54.52538631346579,247,453
25,75,2.5,0.7,54.52538631346579,247,453
25,100,1.8,0.4,54.52538631346579,247,453
25,100,1.8,0.5,54.52538631346579,247,453
25,100,2.2,0.5,54.52538631346579,247,453
25,100,2.37,0.4,54.52538631346579,247,453
25,100,2.5,0.4,54.52538631346579,247,453
25,125,1.8,0.4,54.52538631346579,247,453
25,125,2.0,0.4,54.52538631346579,247,453
25,125,2.37,0.4,54.52538631346579,247,453
30,50,2.2,0.7,54.52538631346579,247,453
30,50,2.2,0.8,54.52538631346579,247,453
30,50,2.37,0.7,54.52538631346579,247,453
30,50,2.37,0.8,54.52538631346579,247,453
30,50,2.5,0.8,54.52538631346579,247,453
30,75,1.8,0.4,54.52538631346579,247,453
35,50,2.0,0.7,54.52538631346579,247,453
35,50,2.2,0.7,54.52538631346579,247,453
35,50,2.5,0.7,54.52538631346579,247,453
35,75,2.2,0.7,54.52538631346579,247,453
35,75,2.37,0.7,54.52538631346579,247,453
35,75,2.5,0.5,54.52538631346579,247,453
35,75,2.5,0.6,54.52538631346579,247,453
35,100,2.2,0.5,54.52538631346579,247,453
35,100,2.37,0.5,54.52538631346579,247,453
35,125,2.2,0.4,54.52538631346579,247,453
35,150,1.8,0.4,54.52538631346579,247,453
35,150,2.2,0.4,54.52538631346579,247,453
35,150,2.5,0.4,54.52538631346579,247,453
40,50,1.8,0.6,54.52538631346579,247,453
40,50,1.8,0.7,54.52538631346579,247,453
40,50,2.0,0.6,54.52538631346579,247,453
40,50,2.0,0.7,54.52538631346579,247,453
40,50,2.2,0.7,54.52538631346579,247,453
40,50,2.2,0.8,54.52538631346579,247,453
40,50,2.37,0.6,54.52538631346579,247,453
40,50,2.37,0.7,54.52538631346579,247,453
40,50,2.37,0.8,54.52538631346579,247,453
40,50,2.5,0.8,54.52538631346579,247,453
40,75,1.8,0.5,54.52538631346579,247,453
40,75,2.2,0.6,54.52538631346579,247,453
40,75,2.37,0.6,54.52538631346579,247,453
40,75,2.5,0.6,54.52538631346579,247,453
40,100,2.5,0.4,54.52538631346579,247,453
15,50,1.8,0.7,54.3046357615894,246,453
15,50,2.0,0.4,54.3046357615894,246,453
15,50,2.2,0.5,54.3046357615894,246,453
15,50,2.37,0.5,54.3046357615894,246,453
15,50,2.5,0.5,54.3046357615894,246,453
15,50,2.5,0.6,54.3046357615894,246,453
15,75,1.8,0.5,54.3046357615894,246,453
15,75,2.0,0.6,54.3046357615894,246,453
15,75,2.37,0.4,54.3046357615894,246,453
15,75,2.5,0.4,54.3046357615894,246,453
15,100,1.8,0.4,54.3046357615894,246,453
15,125,1.8,0.4,54.3046357615894,246,453
15,125,2.0,0.4,54.3046357615894,246,453
20,50,1.8,0.6,54.3046357615894,246,453
20,50,1.8,0.7,54.3046357615894,246,453
20,50,2.0,0.4,54.3046357615894,246,453
20,50,2.0,0.5,54.3046357615894,246,453
20,50,2.0,0.6,54.3046357615894,246,453
20,50,2.0,0.8,54.3046357615894,246,453
20,50,2.2,0.5,54.3046357615894,246,453
20,50,2.2,0.6,54.3046357615894,246,453
20,50,2.37,0.5,54.3046357615894,246,453
20,50,2.37,0.6,54.3046357615894,246,453
20,50,2.5,0.5,54.3046357615894,246,453
20,50,2.5,0.6,54.3046357615894,246,453
20,50,2.5,0.8,54.3046357615894,246,453
20,75,2.2,0.4,54.3046357615894,246,453
20,75,2.37,0.4,54.3046357615894,246,453
20,75,2.5,0.4,54.3046357615894,246,453
20,75,2.5,0.5,54.3046357615894,246,453
20,100,2.2,0.4,54.3046357615894,246,453
25,50,1.8,0.6,54.3046357615894,246,453
25,50,2.0,0.4,54.3046357615894,246,453
25,50,2.2,0.8,54.3046357615894,246,453
25,50,2.37,0.7,54.3046357615894,246,453
25,50,2.5,0.8,54.3046357615894,246,453
25,75,1.8,0.7,54.3046357615894,246,453
25,75,2.2,0.4,54.3046357615894,246,453
25,100,2.0,0.4,54.3046357615894,246,453
25,100,2.2,0.4,54.3046357615894,246,453
25,125,2.5,0.4,54.3046357615894,246,453
25,150,2.37,0.4,54.3046357615894,246,453
30,50,2.2,0.4,54.3046357615894,246,453
30,50,2.37,0.4,54.3046357615894,246,453
30,50,2.5,0.4,54.3046357615894,246,453
30,75,2.0,0.4,54.3046357615894,246,453
30,75,2.2,0.4,54.3046357615894,246,453
30,75,2.2,0.7,54.3046357615894,246,453
30,100,1.8,0.5,54.3046357615894,246,453
30,125,1.8,0.4,54.3046357615894,246,453
35,50,2.37,0.7,54.3046357615894,246,453
35,50,2.5,0.4,54.3046357615894,246,453
35,125,1.8,0.4,54.3046357615894,246,453
35,125,2.37,0.4,54.3046357615894,246,453
35,125,2.5,0.4,54.3046357615894,246,453
35,150,2.0,0.4,54.3046357615894,246,453
40,50,2.0,0.4,54.3046357615894,246,453
40,50,2.2,0.4,54.3046357615894,246,453
40,100,2.37,0.6,54.3046357615894,246,453
40,100,2.5,0.6,54.3046357615894,246,453
40,125,2.0,0.4,54.3046357615894,246,453
15,50,1.8,0.4,54.083885209713024,245,453
15,50,2.0,0.6,54.083885209713024,245,453
15,50,2.0,0.7,54.083885209713024,245,453
15,50,2.2,0.6,54.083885209713024,245,453
15,50,2.2,0.7,54.083885209713024,245,453
15,50,2.37,0.6,54.083885209713024,245,453
15,50,2.37,0.7,54.083885209713024,245,453
15,50,2.5,0.7,54.083885209713024,245,453
15,100,1.8,0.5,54.083885209713024,245,453
15,100,2.2,0.5,54.083885209713024,245,453
15,125,2.5,0.4,54.083885209713024,245,453
20,50,1.8,0.4,54.083885209713024,245,453
20,50,1.8,0.5,54.083885209713024,245,453
20,50,2.37,0.7,54.083885209713024,245,453
20,50,2.37,0.8,54.083885209713024,245,453
20,50,2.5,0.7,54.083885209713024,245,453
20,75,1.8,0.5,54.083885209713024,245,453
20,75,1.8,0.7,54.083885209713024,245,453
20,75,2.0,0.7,54.083885209713024,245,453
20,75,2.2,0.5,54.083885209713024,245,453
20,75,2.37,0.5,54.083885209713024,245,453
20,75,2.5,0.8,54.083885209713024,245,453
20,100,2.0,0.5,54.083885209713024,245,453
20,100,2.2,0.5,54.083885209713024,245,453
20,125,1.8,0.5,54.083885209713024,245,453
20,125,2.5,0.5,54.083885209713024,245,453
20,150,2.37,0.4,54.083885209713024,245,453
25,50,1.8,0.4,54.083885209713024,245,453
25,50,2.0,0.6,54.083885209713024,245,453
25,50,2.37,0.8,54.083885209713024,245,453
25,75,2.0,0.7,54.083885209713024,245,453
25,75,2.2,0.7,54.083885209713024,245,453
25,75,2.37,0.4,54.083885209713024,245,453
25,75,2.5,0.4,54.083885209713024,245,453
25,100,2.37,0.5,54.083885209713024,245,453
25,100,2.5,0.6,54.083885209713024,245,453
25,125,2.37,0.5,54.083885209713024,245,453
25,125,2.5,0.5,54.083885209713024,245,453
25,150,2.0,0.4,54.083885209713024,245,453
25,150,2.2,0.4,54.083885209713024,245,453
25,150,2.37,0.6,54.083885209713024,245,453
30,50,2.0,0.4,54.083885209713024,245,453
30,75,2.37,0.4,54.083885209713024,245,453
30,75,2.5,0.4,54.083885209713024,245,453
30,100,2.0,0.5,54.083885209713024,245,453
30,100,2.2,0.5,54.083885209713024,245,453
30,100,2.37,0.5,54.083885209713024,245,453
30,100,2.5,0.5,54.083885209713024,245,453
30,125,2.0,0.4,54.083885209713024,245,453
30,125,2.2,0.4,54.083885209713024,245,453
30,125,2.2,0.5,54.083885209713024,245,453
30,125,2.37,0.4,54.083885209713024,245,453
30,150,2.0,0.4,54.083885209713024,245,453
30,150,2.2,0.4,54.083885209713024,245,453
30,150,2.37,0.4,54.083885209713024,245,453
35,50,1.8,0.6,54.083885209713024,245,453
35,50,2.0,0.4,54.083885209713024,245,453
35,50,2.0,0.6,54.083885209713024,245,453
35,50,2.2,0.4,54.083885209713024,245,453
35,50,2.2,0.6,54.083885209713024,245,453
35,50,2.37,0.4,54.083885209713024,245,453
35,50,2.37,0.6,54.083885209713024,245,453
35,75,1.8,0.4,54.083885209713024,245,453
35,75,2.0,0.7,54.083885209713024,245,453
35,75,2.2,0.4,54.083885209713024,245,453
35,75,2.5,0.4,54.083885209713024,245,453
35,100,2.37,0.6,54.083885209713024,245,453
35,100,2.5,0.6,54.083885209713024,245,453
35,125,2.0,0.4,54.083885209713024,245,453
40,50,2.37,0.4,54.083885209713024,245,453
40,50,2.5,0.4,54.083885209713024,245,453
40,50,2.5,0.6,54.083885209713024,245,453
40,75,2.0,0.7,54.083885209713024,245,453
40,75,2.2,0.4,54.083885209713024,245,453
40,75,2.2,0.7,54.083885209713024,245,453
40,75,2.37,0.4,54.083885209713024,245,453
40,75,2.5,0.4,54.083885209713024,245,453
40,100,2.2,0.6,54.083885209713024,245,453
40,125,1.8,0.4,54.083885209713024,245,453
40,150,1.8,0.4,54.083885209713024,245,453
40,150,2.37,0.4,54.083885209713024,245,453
15,50,1.8,0.6,53.86313465783664,244,453
15,50,1.8,0.8,53.86313465783664,244,453
15,50,2.0,0.8,53.86313465783664,244,453
15,50,2.2,0.8,53.86313465783664,244,453
15,50,2.37,0.8,53.86313465783664,244,453
15,50,2.5,0.8,53.86313465783664,244,453
15,75,1.8,0.6,53.86313465783664,244,453
15,100,2.37,0.5,53.86313465783664,244,453
15,125,2.2,0.4,53.86313465783664,244,453
15,125,2.37,0.4,53.86313465783664,244,453
20,50,1.8,0.8,53.86313465783664,244,453
20,50,2.2,0.8,53.86313465783664,244,453
20,75,2.0,0.5,53.86313465783664,244,453
20,75,2.37,0.7,53.86313465783664,244,453
20,75,2.37,0.8,53.86313465783664,244,453
20,100,1.8,0.5,53.86313465783664,244,453
20,100,1.8,0.6,53.86313465783664,244,453
20,100,2.37,0.5,53.86313465783664,244,453
20,125,2.2,0.4,53.86313465783664,244,453
20,150,1.8,0.4,53.86313465783664,244,453
20,150,2.0,0.4,53.86313465783664,244,453
20,150,2.2,0.4,53.86313465783664,244,453
20,150,2.5,0.4,53.86313465783664,244,453
25,50,2.2,0.6,53.86313465783664,244,453
25,50,2.37,0.6,53.86313465783664,244,453
25,50,2.5,0.6,53.86313465783664,244,453
25,100,1.8,0.6,53.86313465783664,244,453
25,100,2.2,0.6,53.86313465783664,244,453
25,100,2.37,0.6,53.86313465783664,244,453
25,100,2.5,0.5,53.86313465783664,244,453
25,125,2.0,0.7,53.86313465783664,244,453
25,150,2.5,0.5,53.86313465783664,244,453
30,50,2.37,0.6,53.86313465783664,244,453
30,50,2.5,0.6,53.86313465783664,244,453
30,75,1.8,0.7,53.86313465783664,244,453
30,75,2.0,0.7,53.86313465783664,244,453
30,75,2.0,0.8,53.86313465783664,244,453
30,75,2.2,0.8,53.86313465783664,244,453
30,75,2.37,0.8,53.86313465783664,244,453
30,75,2.5,0.8,53.86313465783664,244,453
30,100,2.37,0.6,53.86313465783664,244,453
30,100,2.5,0.6,53.86313465783664,244,453
30,125,2.0,0.5,53.86313465783664,244,453
30,125,2.37,0.5,53.86313465783664,244,453
30,125,2.5,0.4,53.86313465783664,244,453
30,125,2.5,0.5,53.86313465783664,244,453
35,50,2.2,0.5,53.86313465783664,244,453
35,75,1.8,0.7,53.86313465783664,244,453
35,75,2.0,0.4,53.86313465783664,244,453
35,75,2.37,0.4,53.86313465783664,244,453
35,125,2.2,0.5,53.86313465783664,244,453
40,50,1.8,0.4,53.86313465783664,244,453
40,50,1.8,0.5,53.86313465783664,244,453
40,50,2.2,0.5,53.86313465783664,244,453
40,75,1.8,0.4,53.86313465783664,244,453
40,75,1.8,0.7,53.86313465783664,244,453
40,75,2.0,0.8,53.86313465783664,244,453
40,75,2.2,0.8,53.86313465783664,244,453
40,100,1.8,0.6,53.86313465783664,244,453
40,150,2.0,0.4,53.86313465783664,244,453
